address,city,price,numOfBed,numOfBath,fulBathrooms,halfBathrooms,levels,sqft,lotSize,yearBuilt,homeType,typeOwnership,extraFeaturesDescription,neighbourhood,propertySummary,fireplaces,basementArea,taxes,strataFees,amenities,walkscore,daysListed,lastUpdated,images
3626 22nd Avenue W,Vancouver,"$3,207,860",6,3,2,1,3,2680,5063,1928,House/Single Family,,,  Dunbar,,1,Full,"8,264",,,82,,,"[""https://photos.zolo.ca/3626-w-22nd-avenue-vancouver-R2057665-2.jpg?2016-04-14+23%3A12%3A00"", ""https://photos.zolo.ca/3626-w-22nd-avenue-vancouver-R2057665-3.jpg?2016-04-14+23%3A12%3A00"", ""https://photos.zolo.ca/3626-w-22nd-avenue-vancouver-R2057665-4.jpg?2016-04-14+23%3A12%3A00"", ""https://photos.zolo.ca/3626-w-22nd-avenue-vancouver-R2057665-5.jpg?2016-04-14+23%3A12%3A00"", ""https://photos.zolo.ca/3626-w-22nd-avenue-vancouver-R2057665-6.jpg?2016-04-14+23%3A12%3A00"", ""https://photos.zolo.ca/3626-w-22nd-avenue-vancouver-R2057665-7.jpg?2016-04-14+23%3A12%3A00"", ""https://photos.zolo.ca/3626-w-22nd-avenue-vancouver-R2057665-8.jpg?2016-04-14+23%3A12%3A00"", ""https://photos.zolo.ca/3626-w-22nd-avenue-vancouver-R2057665-9.jpg?2016-04-14+23%3A12%3A00"", ""https://photos.zolo.ca/3626-w-22nd-avenue-vancouver-R2057665-10.jpg?2016-04-14+23%3A12%3A00"", ""https://photos.zolo.ca/3626-w-22nd-avenue-vancouver-R2057665-11.jpg?2016-04-14+23%3A12%3A00"", ""https://photos.zolo.ca/3626-w-22nd-avenue-vancouver-R2057665-12.jpg?2016-04-14+23%3A12%3A00"", ""https://photos.zolo.ca/3626-w-22nd-avenue-vancouver-R2057665-13.jpg?2016-04-14+23%3A12%3A00"", ""https://photos.zolo.ca/3626-w-22nd-avenue-vancouver-R2057665-14.jpg?2016-04-14+23%3A12%3A00"", ""https://photos.zolo.ca/3626-w-22nd-avenue-vancouver-R2057665-15.jpg?2016-04-14+23%3A12%3A00"", ""https://photos.zolo.ca/3626-w-22nd-avenue-vancouver-R2057665-16.jpg?2016-04-14+23%3A12%3A00"", ""https://photos.zolo.ca/3626-w-22nd-avenue-vancouver-R2057665-17.jpg?2016-04-14+23%3A12%3A00"", ""https://photos.zolo.ca/3626-w-22nd-avenue-vancouver-R2057665-18.jpg?2016-04-14+23%3A12%3A00"", ""https://photos.zolo.ca/3626-w-22nd-avenue-vancouver-R2057665-19.jpg?2016-04-14+23%3A12%3A00"", ""https://photos.zolo.ca/3626-w-22nd-avenue-vancouver-R2057665-20.jpg?2016-04-14+23%3A12%3A00""]"
3433 22nd Avenue W,Vancouver,"$4,146,120",4,6,5,1,3,2901,4026,2015,House/Single Family,,,  Dunbar,,1,"Full, Fully Finished","7,068",,,68,,,"[""https://www.xstatic.ca/home_photos/11/3442111/1.jpg?2016-04-14+20%3A26%3A00"", ""//maps.googleapis.com/maps/api/streetview?size=640x480&location=3433%2022nd%20Avenue%20W%20Vancouver%20BC&fov=70&heading=0&pitch=10&key=AIzaSyAj59gMnWGKRVf0zlM9cJaS3UOlrdPO9D0"", ""//maps.googleapis.com/maps/api/streetview?size=640x480&location=3433%2022nd%20Avenue%20W%20Vancouver%20BC&fov=70&heading=120&pitch=10&key=AIzaSyAj59gMnWGKRVf0zlM9cJaS3UOlrdPO9D0"", ""//maps.googleapis.com/maps/api/streetview?size=640x480&location=3433%2022nd%20Avenue%20W%20Vancouver%20BC&fov=70&heading=240&pitch=10&key=AIzaSyAj59gMnWGKRVf0zlM9cJaS3UOlrdPO9D0"", """"]"
4519 Culloden Street,Vancouver,"$1,389,930",8,2,2,0,2,2038,340.61,1912,House/Single Family,,,  Knight,,0,None,"3,920",,,67,,,"[""https://photos.zolo.ca/4519-culloden-street-vancouver-R2057643-2.jpg?2016-04-14+20%3A11%3A00"", ""https://photos.zolo.ca/4519-culloden-street-vancouver-R2057643-3.jpg?2016-04-14+20%3A11%3A00"", ""https://photos.zolo.ca/4519-culloden-street-vancouver-R2057643-4.jpg?2016-04-14+20%3A11%3A00""]"
16 Kaslo Street N,Vancouver,"$1,164,160",2,2,2,0,2,1614,282.05,9999,House/Single Family,,,  Hastings East,,1,"Full, Fully Finished","3,505",,,76,,,"[""https://photos.zolo.ca/16-n-kaslo-street-vancouver-R2057628-2.jpg?2016-04-14+20%3A48%3A00"", ""https://photos.zolo.ca/16-n-kaslo-street-vancouver-R2057628-3.jpg?2016-04-14+20%3A48%3A00"", ""https://photos.zolo.ca/16-n-kaslo-street-vancouver-R2057628-4.jpg?2016-04-14+20%3A48%3A00"", ""https://photos.zolo.ca/16-n-kaslo-street-vancouver-R2057628-5.jpg?2016-04-14+20%3A48%3A00"", ""https://photos.zolo.ca/16-n-kaslo-street-vancouver-R2057628-6.jpg?2016-04-14+20%3A48%3A00"", ""https://photos.zolo.ca/16-n-kaslo-street-vancouver-R2057628-7.jpg?2016-04-14+20%3A48%3A00"", ""https://photos.zolo.ca/16-n-kaslo-street-vancouver-R2057628-8.jpg?2016-04-14+20%3A48%3A00"", ""https://photos.zolo.ca/16-n-kaslo-street-vancouver-R2057628-9.jpg?2016-04-14+20%3A48%3A00""]"
3715 22nd Avenue W,Vancouver,"$3,948,120",5,4,3,1,3,2820,4026,2014,House/Single Family,,,  Dunbar,,1,Fully Finished,"9,457",,,77,,,"[""https://photos.zolo.ca/3715-w-22nd-avenue-vancouver-R2057625-2.jpg?2016-04-18+04%3A18%3A00"", ""https://photos.zolo.ca/3715-w-22nd-avenue-vancouver-R2057625-3.jpg?2016-04-18+04%3A18%3A00"", ""https://photos.zolo.ca/3715-w-22nd-avenue-vancouver-R2057625-4.jpg?2016-04-18+04%3A18%3A00"", ""https://photos.zolo.ca/3715-w-22nd-avenue-vancouver-R2057625-5.jpg?2016-04-18+04%3A18%3A00"", ""https://photos.zolo.ca/3715-w-22nd-avenue-vancouver-R2057625-6.jpg?2016-04-18+04%3A18%3A00"", ""https://photos.zolo.ca/3715-w-22nd-avenue-vancouver-R2057625-7.jpg?2016-04-18+04%3A18%3A00"", ""https://photos.zolo.ca/3715-w-22nd-avenue-vancouver-R2057625-8.jpg?2016-04-18+04%3A18%3A00"", ""https://photos.zolo.ca/3715-w-22nd-avenue-vancouver-R2057625-9.jpg?2016-04-18+04%3A18%3A00"", ""https://photos.zolo.ca/3715-w-22nd-avenue-vancouver-R2057625-10.jpg?2016-04-18+04%3A18%3A00"", ""https://photos.zolo.ca/3715-w-22nd-avenue-vancouver-R2057625-11.jpg?2016-04-18+04%3A18%3A00"", ""https://photos.zolo.ca/3715-w-22nd-avenue-vancouver-R2057625-12.jpg?2016-04-18+04%3A18%3A00"", ""https://photos.zolo.ca/3715-w-22nd-avenue-vancouver-R2057625-13.jpg?2016-04-18+04%3A18%3A00"", ""https://photos.zolo.ca/3715-w-22nd-avenue-vancouver-R2057625-14.jpg?2016-04-18+04%3A18%3A00"", ""https://photos.zolo.ca/3715-w-22nd-avenue-vancouver-R2057625-15.jpg?2016-04-18+04%3A18%3A00"", ""https://photos.zolo.ca/3715-w-22nd-avenue-vancouver-R2057625-16.jpg?2016-04-18+04%3A18%3A00"", ""https://photos.zolo.ca/3715-w-22nd-avenue-vancouver-R2057625-17.jpg?2016-04-18+04%3A18%3A00"", ""https://photos.zolo.ca/3715-w-22nd-avenue-vancouver-R2057625-18.jpg?2016-04-18+04%3A18%3A00"", ""https://photos.zolo.ca/3715-w-22nd-avenue-vancouver-R2057625-19.jpg?2016-04-18+04%3A18%3A00""]"
1046 Nicola Street,Vancouver,"$401,250",1,1,0,1,0,410,0,1996,Townhouse,,,  West End Vw,,5,No,"1,015",,,97,,,"[""https://photos.zolo.ca/1046-nicola-street-vancouver-R2057619-2.jpg?2016-04-18+19%3A10%3A00"", ""https://photos.zolo.ca/1046-nicola-street-vancouver-R2057619-3.jpg?2016-04-18+19%3A10%3A00"", ""https://photos.zolo.ca/1046-nicola-street-vancouver-R2057619-4.jpg?2016-04-18+19%3A10%3A00"", ""https://photos.zolo.ca/1046-nicola-street-vancouver-R2057619-5.jpg?2016-04-18+19%3A10%3A00"", ""https://photos.zolo.ca/1046-nicola-street-vancouver-R2057619-6.jpg?2016-04-18+19%3A10%3A00"", ""https://photos.zolo.ca/1046-nicola-street-vancouver-R2057619-7.jpg?2016-04-18+19%3A10%3A00"", ""https://photos.zolo.ca/1046-nicola-street-vancouver-R2057619-8.jpg?2016-04-18+19%3A10%3A00"", ""https://photos.zolo.ca/1046-nicola-street-vancouver-R2057619-9.jpg?2016-04-18+19%3A10%3A00"", ""https://photos.zolo.ca/1046-nicola-street-vancouver-R2057619-10.jpg?2016-04-18+19%3A10%3A00"", ""https://photos.zolo.ca/1046-nicola-street-vancouver-R2057619-11.jpg?2016-04-18+19%3A10%3A00"", ""https://photos.zolo.ca/1046-nicola-street-vancouver-R2057619-12.jpg?2016-04-18+19%3A10%3A00"", ""https://photos.zolo.ca/1046-nicola-street-vancouver-R2057619-13.jpg?2016-04-18+19%3A10%3A00"", ""https://photos.zolo.ca/1046-nicola-street-vancouver-R2057619-14.jpg?2016-04-18+19%3A10%3A00"", ""https://photos.zolo.ca/1046-nicola-street-vancouver-R2057619-15.jpg?2016-04-18+19%3A10%3A00"", ""https://photos.zolo.ca/1046-nicola-street-vancouver-R2057619-16.jpg?2016-04-18+19%3A10%3A00""]"
4015 30th Avenue W,Vancouver,"$7,710,120",7,7,6,1,3,5410,6890,2016,House/Single Family,,,  Dunbar,,1,"Full, Fully Finished","10,116",,,66,,,"[""https://photos.zolo.ca/4015-w-30th-avenue-vancouver-R2057603-2.jpg?2016-04-15+23%3A22%3A00"", ""https://photos.zolo.ca/4015-w-30th-avenue-vancouver-R2057603-3.jpg?2016-04-15+23%3A22%3A00"", ""https://photos.zolo.ca/4015-w-30th-avenue-vancouver-R2057603-4.jpg?2016-04-15+23%3A22%3A00"", ""https://photos.zolo.ca/4015-w-30th-avenue-vancouver-R2057603-5.jpg?2016-04-15+23%3A22%3A00"", ""https://photos.zolo.ca/4015-w-30th-avenue-vancouver-R2057603-6.jpg?2016-04-15+23%3A22%3A00"", ""https://photos.zolo.ca/4015-w-30th-avenue-vancouver-R2057603-7.jpg?2016-04-15+23%3A22%3A00"", ""https://photos.zolo.ca/4015-w-30th-avenue-vancouver-R2057603-8.jpg?2016-04-15+23%3A22%3A00"", ""https://photos.zolo.ca/4015-w-30th-avenue-vancouver-R2057603-9.jpg?2016-04-15+23%3A22%3A00"", ""https://photos.zolo.ca/4015-w-30th-avenue-vancouver-R2057603-10.jpg?2016-04-15+23%3A22%3A00"", ""https://photos.zolo.ca/4015-w-30th-avenue-vancouver-R2057603-11.jpg?2016-04-15+23%3A22%3A00"", ""https://photos.zolo.ca/4015-w-30th-avenue-vancouver-R2057603-12.jpg?2016-04-15+23%3A22%3A00"", ""https://photos.zolo.ca/4015-w-30th-avenue-vancouver-R2057603-13.jpg?2016-04-15+23%3A22%3A00"", ""https://photos.zolo.ca/4015-w-30th-avenue-vancouver-R2057603-14.jpg?2016-04-15+23%3A22%3A00"", ""https://photos.zolo.ca/4015-w-30th-avenue-vancouver-R2057603-15.jpg?2016-04-15+23%3A22%3A00"", ""https://photos.zolo.ca/4015-w-30th-avenue-vancouver-R2057603-16.jpg?2016-04-15+23%3A22%3A00"", ""https://photos.zolo.ca/4015-w-30th-avenue-vancouver-R2057603-17.jpg?2016-04-15+23%3A22%3A00"", ""https://photos.zolo.ca/4015-w-30th-avenue-vancouver-R2057603-18.jpg?2016-04-15+23%3A22%3A00"", ""https://photos.zolo.ca/4015-w-30th-avenue-vancouver-R2057603-19.jpg?2016-04-15+23%3A22%3A00"", ""https://photos.zolo.ca/4015-w-30th-avenue-vancouver-R2057603-20.jpg?2016-04-15+23%3A22%3A00""]"
4679 13th Avenue W,Vancouver,"$3,851,100",4,3,3,0,3,2877,521.37,1940,House/Single Family,,,  Point Grey,,1,Fully Finished,"9,046",,,78,,,"[""https://photos.zolo.ca/4679-w-13th-avenue-vancouver-R2057550-2.jpg?2016-04-14+18%3A33%3A00"", ""https://photos.zolo.ca/4679-w-13th-avenue-vancouver-R2057550-3.jpg?2016-04-14+18%3A33%3A00"", ""https://photos.zolo.ca/4679-w-13th-avenue-vancouver-R2057550-4.jpg?2016-04-14+18%3A33%3A00""]"
2375 45th Avenue W,Vancouver,"$3,264,292",3,4,3,1,3,2340,0.09,1991,House/Single Family,,,  Kerrisdale,,1,"Crawl, Fully Finished, Separate Entry","6,921",,,90,,,"[""https://www.xstatic.ca/home_photos/89/3441489/1.jpg?2016-04-18+07%3A25%3A00"", ""//maps.googleapis.com/maps/api/streetview?size=640x480&location=2375%2045th%20Avenue%20W%20Vancouver%20BC&fov=70&heading=0&pitch=10&key=AIzaSyAj59gMnWGKRVf0zlM9cJaS3UOlrdPO9D0"", ""//maps.googleapis.com/maps/api/streetview?size=640x480&location=2375%2045th%20Avenue%20W%20Vancouver%20BC&fov=70&heading=120&pitch=10&key=AIzaSyAj59gMnWGKRVf0zlM9cJaS3UOlrdPO9D0"", ""//maps.googleapis.com/maps/api/streetview?size=640x480&location=2375%2045th%20Avenue%20W%20Vancouver%20BC&fov=70&heading=240&pitch=10&key=AIzaSyAj59gMnWGKRVf0zlM9cJaS3UOlrdPO9D0"", """"]"
3371 Napier Street,Vancouver,"$1,281,860",5,2,2,0,3,1775,0,1928,House/Single Family,,,  Renfrew Ve,,0,Full,"3,842",,,64,,,"[""https://photos.zolo.ca/3371-napier-street-vancouver-R2057535-2.jpg?2016-04-15+23%3A02%3A00"", ""https://photos.zolo.ca/3371-napier-street-vancouver-R2057535-3.jpg?2016-04-15+23%3A02%3A00"", ""https://photos.zolo.ca/3371-napier-street-vancouver-R2057535-4.jpg?2016-04-15+23%3A02%3A00""]"
3898 3rd Avenue W,Vancouver,"$5,344,020",6,6,4,2,3,4008,5644.42,2015,House/Single Family,,,  Point Grey,,2,"Full, Fully Finished","7,392",,,81,,,"[""https://photos.zolo.ca/3898-w-3rd-avenue-vancouver-R2057523-2.jpg?2016-04-14+23%3A36%3A00"", ""https://photos.zolo.ca/3898-w-3rd-avenue-vancouver-R2057523-3.jpg?2016-04-14+23%3A36%3A00"", ""https://photos.zolo.ca/3898-w-3rd-avenue-vancouver-R2057523-4.jpg?2016-04-14+23%3A36%3A00"", ""https://photos.zolo.ca/3898-w-3rd-avenue-vancouver-R2057523-5.jpg?2016-04-14+23%3A36%3A00"", ""https://photos.zolo.ca/3898-w-3rd-avenue-vancouver-R2057523-6.jpg?2016-04-14+23%3A36%3A00"", ""https://photos.zolo.ca/3898-w-3rd-avenue-vancouver-R2057523-7.jpg?2016-04-14+23%3A36%3A00"", ""https://photos.zolo.ca/3898-w-3rd-avenue-vancouver-R2057523-8.jpg?2016-04-14+23%3A36%3A00"", ""https://photos.zolo.ca/3898-w-3rd-avenue-vancouver-R2057523-9.jpg?2016-04-14+23%3A36%3A00"", ""https://photos.zolo.ca/3898-w-3rd-avenue-vancouver-R2057523-10.jpg?2016-04-14+23%3A36%3A00"", ""https://photos.zolo.ca/3898-w-3rd-avenue-vancouver-R2057523-11.jpg?2016-04-14+23%3A36%3A00"", ""https://photos.zolo.ca/3898-w-3rd-avenue-vancouver-R2057523-12.jpg?2016-04-14+23%3A36%3A00"", ""https://photos.zolo.ca/3898-w-3rd-avenue-vancouver-R2057523-13.jpg?2016-04-14+23%3A36%3A00"", ""https://photos.zolo.ca/3898-w-3rd-avenue-vancouver-R2057523-14.jpg?2016-04-14+23%3A36%3A00"", ""https://photos.zolo.ca/3898-w-3rd-avenue-vancouver-R2057523-15.jpg?2016-04-14+23%3A36%3A00"", ""https://photos.zolo.ca/3898-w-3rd-avenue-vancouver-R2057523-16.jpg?2016-04-14+23%3A36%3A00"", ""https://photos.zolo.ca/3898-w-3rd-avenue-vancouver-R2057523-17.jpg?2016-04-14+23%3A36%3A00"", ""https://photos.zolo.ca/3898-w-3rd-avenue-vancouver-R2057523-18.jpg?2016-04-14+23%3A36%3A00"", ""https://photos.zolo.ca/3898-w-3rd-avenue-vancouver-R2057523-19.jpg?2016-04-14+23%3A36%3A00"", ""https://photos.zolo.ca/3898-w-3rd-avenue-vancouver-R2057523-20.jpg?2016-04-14+23%3A36%3A00""]"
4509 Slocan Street,Vancouver,"$1,806,160",9,8,8,0,3,3524,0,2010,House/Single Family,,,  Collingwood Ve,,1,Fully Finished,"5,412",,,72,,,"[""https://photos.zolo.ca/4509-slocan-street-vancouver-R2057512-2.jpg?2016-04-15+04%3A56%3A00"", ""https://photos.zolo.ca/4509-slocan-street-vancouver-R2057512-3.jpg?2016-04-15+04%3A56%3A00"", ""https://photos.zolo.ca/4509-slocan-street-vancouver-R2057512-4.jpg?2016-04-15+04%3A56%3A00"", ""https://photos.zolo.ca/4509-slocan-street-vancouver-R2057512-5.jpg?2016-04-15+04%3A56%3A00"", ""https://photos.zolo.ca/4509-slocan-street-vancouver-R2057512-6.jpg?2016-04-15+04%3A56%3A00"", ""https://photos.zolo.ca/4509-slocan-street-vancouver-R2057512-7.jpg?2016-04-15+04%3A56%3A00"", ""https://photos.zolo.ca/4509-slocan-street-vancouver-R2057512-8.jpg?2016-04-15+04%3A56%3A00"", ""https://photos.zolo.ca/4509-slocan-street-vancouver-R2057512-9.jpg?2016-04-15+04%3A56%3A00"", ""https://photos.zolo.ca/4509-slocan-street-vancouver-R2057512-10.jpg?2016-04-15+04%3A56%3A00"", ""https://photos.zolo.ca/4509-slocan-street-vancouver-R2057512-11.jpg?2016-04-15+04%3A56%3A00"", ""https://photos.zolo.ca/4509-slocan-street-vancouver-R2057512-12.jpg?2016-04-15+04%3A56%3A00""]"
5695 Ormidale Street,Vancouver,"$1,476,600",9,5,5,0,3,2816,401.37,1910,House/Single Family,,,  Collingwood Ve,,0,None,"4,292",,,87,,,"[""https://photos.zolo.ca/5695-ormidale-street-vancouver-R2057509-2.jpg?2016-04-14+17%3A51%3A00"", ""https://photos.zolo.ca/5695-ormidale-street-vancouver-R2057509-3.jpg?2016-04-14+17%3A51%3A00"", ""https://photos.zolo.ca/5695-ormidale-street-vancouver-R2057509-4.jpg?2016-04-14+17%3A51%3A00"", ""https://photos.zolo.ca/5695-ormidale-street-vancouver-R2057509-5.jpg?2016-04-14+17%3A51%3A00"", ""https://photos.zolo.ca/5695-ormidale-street-vancouver-R2057509-6.jpg?2016-04-14+17%3A51%3A00"", ""https://photos.zolo.ca/5695-ormidale-street-vancouver-R2057509-7.jpg?2016-04-14+17%3A51%3A00"", ""https://photos.zolo.ca/5695-ormidale-street-vancouver-R2057509-8.jpg?2016-04-14+17%3A51%3A00"", ""https://photos.zolo.ca/5695-ormidale-street-vancouver-R2057509-9.jpg?2016-04-14+17%3A51%3A00"", ""https://photos.zolo.ca/5695-ormidale-street-vancouver-R2057509-10.jpg?2016-04-14+17%3A51%3A00"", ""https://photos.zolo.ca/5695-ormidale-street-vancouver-R2057509-11.jpg?2016-04-14+17%3A51%3A00"", ""https://photos.zolo.ca/5695-ormidale-street-vancouver-R2057509-12.jpg?2016-04-14+17%3A51%3A00"", ""https://photos.zolo.ca/5695-ormidale-street-vancouver-R2057509-13.jpg?2016-04-14+17%3A51%3A00"", ""https://photos.zolo.ca/5695-ormidale-street-vancouver-R2057509-14.jpg?2016-04-14+17%3A51%3A00"", ""https://photos.zolo.ca/5695-ormidale-street-vancouver-R2057509-15.jpg?2016-04-14+17%3A51%3A00"", ""https://photos.zolo.ca/5695-ormidale-street-vancouver-R2057509-16.jpg?2016-04-14+17%3A51%3A00"", ""https://photos.zolo.ca/5695-ormidale-street-vancouver-R2057509-17.jpg?2016-04-14+17%3A51%3A00"", ""https://photos.zolo.ca/5695-ormidale-street-vancouver-R2057509-18.jpg?2016-04-14+17%3A51%3A00"", ""https://photos.zolo.ca/5695-ormidale-street-vancouver-R2057509-19.jpg?2016-04-14+17%3A51%3A00""]"
2227 37th Avenue E,Vancouver,"$1,753,516",4,2,2,0,2,2422,1,1914,House/Single Family,,,  Victoria Ve,,0,Full,"4,526",,,82,,,"[""https://www.xstatic.ca/home_photos/60/3440660/1.jpg?2016-04-14+18%3A15%3A00"", ""//maps.googleapis.com/maps/api/streetview?size=640x480&location=2227%2037th%20Avenue%20E%20Vancouver%20BC&fov=70&heading=0&pitch=10&key=AIzaSyAj59gMnWGKRVf0zlM9cJaS3UOlrdPO9D0"", ""//maps.googleapis.com/maps/api/streetview?size=640x480&location=2227%2037th%20Avenue%20E%20Vancouver%20BC&fov=70&heading=120&pitch=10&key=AIzaSyAj59gMnWGKRVf0zlM9cJaS3UOlrdPO9D0"", ""//maps.googleapis.com/maps/api/streetview?size=640x480&location=2227%2037th%20Avenue%20E%20Vancouver%20BC&fov=70&heading=240&pitch=10&key=AIzaSyAj59gMnWGKRVf0zlM9cJaS3UOlrdPO9D0"", """"]"
3533 Point Grey Road,Vancouver,"$11,373,120",4,4,3,1,3,3212,4933.5,1978,House/Single Family,,,  Kitsilano,,3,None,"27,221",,,85,,,"[""https://photos.zolo.ca/3533-point-grey-road-vancouver-R2057424-2.jpg?2016-04-14+22%3A44%3A00"", ""https://photos.zolo.ca/3533-point-grey-road-vancouver-R2057424-3.jpg?2016-04-14+22%3A44%3A00"", ""https://photos.zolo.ca/3533-point-grey-road-vancouver-R2057424-4.jpg?2016-04-14+22%3A44%3A00"", ""https://photos.zolo.ca/3533-point-grey-road-vancouver-R2057424-5.jpg?2016-04-14+22%3A44%3A00"", ""https://photos.zolo.ca/3533-point-grey-road-vancouver-R2057424-6.jpg?2016-04-14+22%3A44%3A00"", ""https://photos.zolo.ca/3533-point-grey-road-vancouver-R2057424-7.jpg?2016-04-14+22%3A44%3A00"", ""https://photos.zolo.ca/3533-point-grey-road-vancouver-R2057424-8.jpg?2016-04-14+22%3A44%3A00"", ""https://photos.zolo.ca/3533-point-grey-road-vancouver-R2057424-9.jpg?2016-04-14+22%3A44%3A00"", ""https://photos.zolo.ca/3533-point-grey-road-vancouver-R2057424-10.jpg?2016-04-14+22%3A44%3A00"", ""https://photos.zolo.ca/3533-point-grey-road-vancouver-R2057424-11.jpg?2016-04-14+22%3A44%3A00"", ""https://photos.zolo.ca/3533-point-grey-road-vancouver-R2057424-12.jpg?2016-04-14+22%3A44%3A00"", ""https://photos.zolo.ca/3533-point-grey-road-vancouver-R2057424-13.jpg?2016-04-14+22%3A44%3A00"", ""https://photos.zolo.ca/3533-point-grey-road-vancouver-R2057424-14.jpg?2016-04-14+22%3A44%3A00"", ""https://photos.zolo.ca/3533-point-grey-road-vancouver-R2057424-15.jpg?2016-04-14+22%3A44%3A00"", ""https://photos.zolo.ca/3533-point-grey-road-vancouver-R2057424-16.jpg?2016-04-14+22%3A44%3A00"", ""https://photos.zolo.ca/3533-point-grey-road-vancouver-R2057424-17.jpg?2016-04-14+22%3A44%3A00"", ""https://photos.zolo.ca/3533-point-grey-road-vancouver-R2057424-18.jpg?2016-04-14+22%3A44%3A00"", ""https://photos.zolo.ca/3533-point-grey-road-vancouver-R2057424-19.jpg?2016-04-14+22%3A44%3A00""]"
731 17th Avenue W,Vancouver,"$1,964,360",4,2,2,0,3,1749,374.03,1907,House/Single Family,,,  Cambie,,0,Fully Finished,"6,601",,,91,,,"[""https://photos.zolo.ca/731-w-17th-avenue-vancouver-R2039134-2.jpg?2016-03-01+00%3A18%3A00"", ""https://photos.zolo.ca/731-w-17th-avenue-vancouver-R2039134-3.jpg?2016-03-01+00%3A18%3A00"", ""https://photos.zolo.ca/731-w-17th-avenue-vancouver-R2039134-4.jpg?2016-03-01+00%3A18%3A00"", ""https://photos.zolo.ca/731-w-17th-avenue-vancouver-R2039134-5.jpg?2016-03-01+00%3A18%3A00"", ""https://photos.zolo.ca/731-w-17th-avenue-vancouver-R2039134-6.jpg?2016-03-01+00%3A18%3A00"", ""https://photos.zolo.ca/731-w-17th-avenue-vancouver-R2039134-7.jpg?2016-03-01+00%3A18%3A00"", ""https://photos.zolo.ca/731-w-17th-avenue-vancouver-R2039134-8.jpg?2016-03-01+00%3A18%3A00"", ""https://photos.zolo.ca/731-w-17th-avenue-vancouver-R2039134-9.jpg?2016-03-01+00%3A18%3A00""]"
8481 Quayside Court,Vancouver,"$801,430",2,2,1,1,4,1921,0,1988,Townhouse,,,  Fraserview Ve,,1,River,"2,474",,,46,,,"[""https://photos.zolo.ca/8481-quayside-court-vancouver-R2057386-2.jpg?2016-04-14+17%3A09%3A00"", ""https://photos.zolo.ca/8481-quayside-court-vancouver-R2057386-3.jpg?2016-04-14+17%3A09%3A00"", ""https://photos.zolo.ca/8481-quayside-court-vancouver-R2057386-4.jpg?2016-04-14+17%3A09%3A00"", ""https://photos.zolo.ca/8481-quayside-court-vancouver-R2057386-5.jpg?2016-04-14+17%3A09%3A00"", ""https://photos.zolo.ca/8481-quayside-court-vancouver-R2057386-6.jpg?2016-04-14+17%3A09%3A00"", ""https://photos.zolo.ca/8481-quayside-court-vancouver-R2057386-7.jpg?2016-04-14+17%3A09%3A00"", ""https://photos.zolo.ca/8481-quayside-court-vancouver-R2057386-8.jpg?2016-04-14+17%3A09%3A00"", ""https://photos.zolo.ca/8481-quayside-court-vancouver-R2057386-9.jpg?2016-04-14+17%3A09%3A00"", ""https://photos.zolo.ca/8481-quayside-court-vancouver-R2057386-10.jpg?2016-04-14+17%3A09%3A00"", ""https://photos.zolo.ca/8481-quayside-court-vancouver-R2057386-11.jpg?2016-04-14+17%3A09%3A00"", ""https://photos.zolo.ca/8481-quayside-court-vancouver-R2057386-12.jpg?2016-04-14+17%3A09%3A00"", ""https://photos.zolo.ca/8481-quayside-court-vancouver-R2057386-13.jpg?2016-04-14+17%3A09%3A00"", ""https://photos.zolo.ca/8481-quayside-court-vancouver-R2057386-14.jpg?2016-04-14+17%3A09%3A00""]"
429 Pender Street E,Vancouver,"$1,583,600",8,3,3,0,3,2673,0.07,1901,House/Single Family,,,  Mount Pleasant Ve,,0,"Full, Fully Finished","4,359",,,97,,,"[""https://photos.zolo.ca/429-e-pender-street-vancouver-R2057355-2.jpg?2016-04-18+02%3A46%3A00"", ""https://photos.zolo.ca/429-e-pender-street-vancouver-R2057355-3.jpg?2016-04-18+02%3A46%3A00"", ""https://photos.zolo.ca/429-e-pender-street-vancouver-R2057355-4.jpg?2016-04-18+02%3A46%3A00"", ""https://photos.zolo.ca/429-e-pender-street-vancouver-R2057355-5.jpg?2016-04-18+02%3A46%3A00"", ""https://photos.zolo.ca/429-e-pender-street-vancouver-R2057355-6.jpg?2016-04-18+02%3A46%3A00"", ""https://photos.zolo.ca/429-e-pender-street-vancouver-R2057355-7.jpg?2016-04-18+02%3A46%3A00"", ""https://photos.zolo.ca/429-e-pender-street-vancouver-R2057355-8.jpg?2016-04-18+02%3A46%3A00"", ""https://photos.zolo.ca/429-e-pender-street-vancouver-R2057355-9.jpg?2016-04-18+02%3A46%3A00"", ""https://photos.zolo.ca/429-e-pender-street-vancouver-R2057355-10.jpg?2016-04-18+02%3A46%3A00"", ""https://photos.zolo.ca/429-e-pender-street-vancouver-R2057355-11.jpg?2016-04-18+02%3A46%3A00"", ""https://photos.zolo.ca/429-e-pender-street-vancouver-R2057355-12.jpg?2016-04-18+02%3A46%3A00""]"
